rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;imgJS/WMN_scramble_21.jpg,imgJS/WMN_scramble_38.jpg,imgJS/WMN_scramble_54.jpg,imgJS/WMN_scramble_90.jpg,imgJS/WMN_scramble_1.jpg,imgJS/WMN_scramble_5.jpg,imgJS/WMN_scramble_16.jpg,imgJS/WMN_26.jpg,imgJS/WMN_scramble_81.jpg,imgJS/WMN_scramble_49.jpg,i;999;999;rsvp_img_15;8;13;2;5;1;7;3;11;0;rsvp_flux;1074;1205484;0.0-1074.0;3038149;05/05/2020 16:59
747.13500007056;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;8;13;2;5;1;7;3;11;0;html-keyboard-response;1075;1206236;0.0-1075.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1076;1206288;0.0-1076.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;14;2;6;1;5;2;9;0;html-keyboard-response;1077;1207292;0.0-1077.0;3038149;05/05/2020 16:59
999;imgJS/WFN_scramble_50.jpg,imgJS/WFN_scramble_38.jpg,imgJS/WFN_scramble_62.jpg,imgJS/WFN_scramble_84.jpg,imgJS/WFN_scramble_72.jpg,imgJS/WFN_58.jpg,imgJS/WFN_scramble_1.jpg,imgJS/WFN_scramble_81.jpg,imgJS/WFN_scramble_54.jpg,imgJS/WFF_32.jpg,imgJS/WFN;999;999;rsvp_img_15;8;14;2;6;1;5;2;9;0;rsvp_flux;1078;1208347;0.0-1078.0;3038149;05/05/2020 16:59
1926.220000023;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;8;14;2;6;1;5;2;9;0;html-keyboard-response;1079;1210276;0.0-1079.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1080;1210319;0.0-1080.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;15;2;6;1;4;2;6;1;html-keyboard-response;1081;1211324;0.0-1081.0;3038149;05/05/2020 16:59
999;imgJS/WFN_scramble_66.jpg,imgJS/WFN_scramble_67.jpg,imgJS/WFN_scramble_21.jpg,imgJS/WFN_scramble_32.jpg,imgJS/WFN_86.jpg,imgJS/WFN_scramble_2.jpg,imgJS/WMF_6.jpg,imgJS/WFN_scramble_6.jpg,imgJS/WFN_scramble_49.jpg,imgJS/WFN_scramble_84.jpg,imgJS/WFN_s;999;999;rsvp_img_15;8;15;2;6;1;4;2;6;1;rsvp_flux;1082;1212379;0.0-1082.0;3038149;05/05/2020 16:59
1403.7399999797;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;8;15;2;6;1;4;2;6;1;html-keyboard-response;1083;1213786;0.0-1083.0;3038149;05/05/2020 16:59
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;1084;1213828;0.0-1084.0;3038149;05/05/2020 16:59
999;fixation_cross;999;999;fixation;8;16;2;5;1;5;3;9;1;html-keyboard-response;1085;1214833;0.0-1085.0;3038149;05/05/2020 16:59
