runID	startTime	doneTime	participant_participantID	taskSession_taskSessionID	taskSessionID	sessionName	openingTime	closingTime	task_taskID	rt	stimulus	responses	key_press	test_part	blockNb	trialNb	condiEmoBlock	condiEmoTrial	condiRwd	posCritDist	distractor	posTarget	target	trial_type	trial_index	time_elapsed	internal_node_id	run_id	date	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	1186.9650000008	<div style="font-size:20px;"><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	79	rsvpAnswHom	0	5	2	6	2	8	2	10	1	html-keyboard-response	24	34792	0.0-24.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	25	34825	0.0-25.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	1	0	1	1	1	7	1	9	3	html-keyboard-response	26	35830	0.0-26.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WMF_scramble_10.jpg,imgJS/WMF_scramble_21.jpg,imgJS/WMF_scramble_4.jpg,imgJS/WMF_scramble_22.jpg,imgJS/WMF_scramble_29.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_26.jpg,imgJS/WMF_26.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMN_40.jpg,imgJS/WMF_scramble_24.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_15.jpg,imgJS/WMF_scramble_1.jpg,imgJS/WMF_scramble_29.jpg	999	999	rsvp_img_15	1	0	1	1	1	7	1	9	3	rsvp_flux	27	36883	0.0-27.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	1045.2550000045	<div style="font-size:20px;"><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswFem	1	0	1	1	1	7	1	9	3	html-keyboard-response	28	37931	0.0-28.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	29	37977	0.0-29.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	1	1	1	2	1	7	0	9	3	html-keyboard-response	30	38981	0.0-30.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WFF_scramble_28.jpg,imgJS/WFF_scramble_12.jpg,imgJS/WFF_scramble_13.jpg,imgJS/WFF_scramble_4.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_scramble_29.jpg,imgJS/WFF_scramble_26.jpg,imgJS/WFF_31.jpg,imgJS/WFF_scramble_1.jpg,imgJS/WMN_71.jpg,imgJS/WFF_scramble_3.jpg,imgJS/WFF_scramble_26.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFF_scramble_25.jpg,imgJS/WFF_scramble_15.jpg	999	999	rsvp_img_15	1	1	1	2	1	7	0	9	3	rsvp_flux	31	40034	0.0-31.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	621.49499997031	<div style="font-size:20px;"><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>	999	78	rsvpAnswHom	1	1	1	2	1	7	0	9	3	html-keyboard-response	32	40658	0.0-32.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	999	999	999	fullscreenExp	999	999	999	999	999	999	999	999	999	fullscreen	33	40692	0.0-33.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	fixation_cross	999	999	fixation	1	2	1	1	1	4	1	8	3	html-keyboard-response	34	41695	0.0-34.0	26	11:22 26-5-2020	
26	2020-05-26 09:22:47		user7	1	1	EMOREG_S1	2020-05-09 00:00:00	2021-05-10 00:00:00	EMOREG	999	imgJS/WMF_scramble_8.jpg,imgJS/WMF_scramble_4.jpg,imgJS/WMF_scramble_2.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_16.jpg,imgJS/WMF_scramble_15.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMN_64.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_3.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMF_scramble_17.jpg	999	999	rsvp_img_15	1	2	1	1	1	4	1	8	3	rsvp_flux	35	42748	0.0-35.0	26	11:22 26-5-2020	
