rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;imgJS/WMF_scramble_19.jpg,imgJS/WMF_scramble_22.jpg,imgJS/WMF_scramble_24.jpg,imgJS/WMF_scramble_21.jpg,imgJS/WMF_scramble_7.jpg,imgJS/WMF_scramble_25.jpg,imgJS/WMF_scramble_5.jpg,imgJS/WMF_scramble_20.jpg,imgJS/WMF_22.jpg,imgJS/WMF_scramble_21.jpg,i;999;999;rsvp_img_15;1;27;2;3;1;8;1;10;0;rsvp_flux;283;255379;0.0-283.0;9546715;05/05/2020 14:35
524.55500001088;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswFem;1;27;2;3;1;8;1;10;0;html-keyboard-response;284;255907;0.0-284.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;285;255945;0.0-285.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;1;28;2;5;1;8;3;12;1;html-keyboard-response;286;256950;0.0-286.0;9546715;05/05/2020 14:35
999;imgJS/WMN_scramble_48.jpg,imgJS/WMN_scramble_58.jpg,imgJS/WMN_scramble_86.jpg,imgJS/WMN_scramble_84.jpg,imgJS/WMN_scramble_6.jpg,imgJS/WMN_scramble_45.jpg,imgJS/WMN_scramble_65.jpg,imgJS/WMN_scramble_63.jpg,imgJS/WMN_91.jpg,imgJS/WMN_scramble_86.jpg,;999;999;rsvp_img_15;1;28;2;5;1;8;3;12;1;rsvp_flux;287;258004;0.0-287.0;9546715;05/05/2020 14:35
1892.969999928;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;1;28;2;5;1;8;3;12;1;html-keyboard-response;288;259899;0.0-288.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;289;259940;0.0-289.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;1;29;2;4;1;8;2;12;3;html-keyboard-response;290;260944;0.0-290.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_24.jpg,imgJS/WFN_scramble_46.jpg,imgJS/WFN_scramble_62.jpg,imgJS/WFN_scramble_7.jpg,imgJS/WFN_scramble_17.jpg,imgJS/WFN_scramble_75.jpg,imgJS/WFN_scramble_50.jpg,imgJS/WFN_scramble_40.jpg,imgJS/WFN_65.jpg,imgJS/WFN_scramble_47.jpg,;999;999;rsvp_img_15;1;29;2;4;1;8;2;12;3;rsvp_flux;291;261998;0.0-291.0;9546715;05/05/2020 14:35
1067.6200001035;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;1;29;2;4;1;8;2;12;3;html-keyboard-response;292;263068;0.0-292.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;293;263107;0.0-293.0;9546715;05/05/2020 14:35
999;instructions/instructionsDiapo/Slide7.jpg;999;999;instrCondi;2;999;NULL;NULL;2;999;999;999;999;image-keyboard-response;294;273930;0.0-294.0;9546715;05/05/2020 14:35
999;fixation_cross;999;999;fixation;2;0;2;4;2;7;2;11;2;html-keyboard-response;295;274933;0.0-295.0;9546715;05/05/2020 14:35
999;imgJS/WFN_scramble_3.jpg,imgJS/WFN_scramble_42.jpg,imgJS/WFN_scramble_80.jpg,imgJS/WFN_scramble_31.jpg,imgJS/WFN_scramble_70.jpg,imgJS/WFN_scramble_21.jpg,imgJS/WFN_scramble_62.jpg,imgJS/WFN_68.jpg,imgJS/WFN_scramble_27.jpg,imgJS/WFN_scramble_13.jpg,;999;999;rsvp_img_15;2;0;2;4;2;7;2;11;2;rsvp_flux;296;275988;0.0-296.0;9546715;05/05/2020 14:35
3405.5200000294;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;2;0;2;4;2;7;2;11;2;html-keyboard-response;297;279396;0.0-297.0;9546715;05/05/2020 14:35
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;298;279436;0.0-298.0;9546715;05/05/2020 14:35
