rt;stimulus;responses;key_press;test_part;blockNb;trialNb;condiEmoBlock;condiEmoTrial;condiRwd;posCritDist;distractor;posTarget;target;trial_type;trial_index;time_elapsed;internal_node_id;subject_id;date
999;fixation_cross;999;999;fixation;0;13;1;1;1;7;1;9;2;html-keyboard-response;105;206566;0.0-105.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_1.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_scramble_20.jpg,imgJS/WMF_scramble_14.jpg,imgJS/WMF_scramble_9.jpg,imgJS/WMF_scramble_18.jpg,imgJS/WMF_scramble_12.jpg,imgJS/WMF_10.jpg,imgJS/WMF_scramble_10.jpg,imgJS/WFN_61.jpg,imgJS/WMF_s;999;999;rsvp_img_15;0;13;1;1;1;7;1;9;2;rsvp_flux;106;207619;0.0-106.0;8651065;06/05/2020 14:25
461.69999998529;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;13;1;1;1;7;1;9;2;html-keyboard-response;107;208084;0.0-107.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;108;208134;0.0-108.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;14;1;1;1;4;1;8;3;html-keyboard-response;109;209139;0.0-109.0;8651065;06/05/2020 14:25
999;imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_8.jpg,imgJS/WMF_scramble_6.jpg,imgJS/WMF_scramble_24.jpg,imgJS/WMF_18.jpg,imgJS/WMF_scramble_13.jpg,imgJS/WMF_scramble_28.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMN_55.jpg,imgJS/WMF_scramble_19.jpg,imgJS/WMF_;999;999;rsvp_img_15;0;14;1;1;1;4;1;8;3;rsvp_flux;110;210193;0.0-110.0;8651065;06/05/2020 14:25
570.60500001535;"<div style=""font-size:20px;""><p> Avez-vous vu au moins une femme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswFem;0;14;1;1;1;4;1;8;3;html-keyboard-response;111;210767;0.0-111.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;112;210812;0.0-112.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;15;1;2;1;5;0;7;2;html-keyboard-response;113;211816;0.0-113.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_36.jpg,imgJS/WFF_scramble_32.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_5.jpg,imgJS/WFF_scramble_24.jpg,imgJS/WFF_28.jpg,imgJS/WFF_scramble_15.jpg,imgJS/WFN_41.jpg,imgJS/WFF_scramble_31.jpg,imgJS/WFF_scramble_30.jpg,imgJS/WFF;999;999;rsvp_img_15;0;15;1;2;1;5;0;7;2;rsvp_flux;114;212870;0.0-114.0;8651065;06/05/2020 14:25
497.8200000478;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;15;1;2;1;5;0;7;2;html-keyboard-response;115;213371;0.0-115.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;116;213422;0.0-116.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;16;1;4;1;4;2;8;3;html-keyboard-response;117;214426;0.0-117.0;8651065;06/05/2020 14:25
999;imgJS/WFN_scramble_36.jpg,imgJS/WFN_scramble_59.jpg,imgJS/WFN_scramble_31.jpg,imgJS/WFN_scramble_26.jpg,imgJS/WFN_62.jpg,imgJS/WFN_scramble_80.jpg,imgJS/WFN_scramble_38.jpg,imgJS/WFN_scramble_71.jpg,imgJS/WMN_67.jpg,imgJS/WFN_scramble_13.jpg,imgJS/WF;999;999;rsvp_img_15;0;16;1;4;1;4;2;8;3;rsvp_flux;118;215481;0.0-118.0;8651065;06/05/2020 14:25
298.6750000855;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;79;rsvpAnswHom;0;16;1;4;1;4;2;8;3;html-keyboard-response;119;215783;0.0-119.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;120;215834;0.0-120.0;8651065;06/05/2020 14:25
999;fixation_cross;999;999;fixation;0;17;1;2;1;5;0;9;2;html-keyboard-response;121;216839;0.0-121.0;8651065;06/05/2020 14:25
999;imgJS/WFF_scramble_5.jpg,imgJS/WFF_scramble_24.jpg,imgJS/WFF_scramble_19.jpg,imgJS/WFF_scramble_2.jpg,imgJS/WFF_scramble_8.jpg,imgJS/WFF_2.jpg,imgJS/WFF_scramble_11.jpg,imgJS/WFF_scramble_27.jpg,imgJS/WFF_scramble_3.jpg,imgJS/WFN_16.jpg,imgJS/WFF_scr;999;999;rsvp_img_15;0;17;1;2;1;5;0;9;2;rsvp_flux;122;217893;0.0-122.0;8651065;06/05/2020 14:25
682.57499998435;"<div style=""font-size:20px;""><p> Avez-vous vu au moins un homme? </p><p> <strong> Oui [O] / Non [N] </strong></p> </div>";999;78;rsvpAnswHom;0;17;1;2;1;5;0;9;2;html-keyboard-response;123;218579;0.0-123.0;8651065;06/05/2020 14:25
999;999;999;999;fullscreenExp;999;999;999;999;999;999;999;999;999;fullscreen;124;218628;0.0-124.0;8651065;06/05/2020 14:25
